I
1100 Generated by WorldEditor 2.2.0r2

1    252 1 0 LFRK Caen Carpiquet
1302 city Caen/Carpiquet
1302 country France
1302 datum_lat 49.173280556
1302 datum_lon -0.449875
1302 faa_code 
1302 iata_code CFR
1302 icao_code LFRK
1302 region_code LF
1302 state Lower Normandy
1302 transition_alt 5000
1302 transition_level 
100 45.11 1 0 0.25 0 3 0 13  49.18097800 -000.46646199  300    0 2 0 0 0 31  49.17108347 -000.44513300    0    0 3 10 0 1
100 30.00 1 0 0.25 0 0 0 05  49.17087439 -000.45457961    0    0 1 0 0 0 23  49.17743151 -000.44176799    0    0 1 0 0 0
100 50.00 3 0 0.40 0 0 0 05L  49.17495378 -000.45219538    0    0 0 0 0 0 23R  49.17855805 -000.44514780    0    0 0 0 0 0
100 50.00 3 0 0.40 0 0 0 13L  49.18021317 -000.45886691    0    0 0 0 0 0 31R  49.17599384 -000.44977269    0    0 0 0 0 0
110 1 0.25 71.0000 Car park
111  49.18357017 -000.45970830
112  49.18355493 -000.45977874  49.18354590 -000.45982047
111  49.18356536 -000.45985680
111  49.18368747 -000.46010405
111  49.18360657 -000.46049161
111  49.18346139 -000.46022581
111  49.18332246 -000.45994344
111  49.18351268 -000.45972825
113  49.18347906 -000.45965606
110 1 0.25 84.9000 ACB asphalt
111  49.17864554 -000.47340077
111  49.17864052 -000.47344206
111  49.17863854 -000.47350463
111  49.17870519 -000.47351647
111  49.17869323 -000.47367289
111  49.17861707 -000.47365724
111  49.17862011 -000.47361890
112  49.17857105 -000.47352536  49.17857708 -000.47344181
111  49.17857809 -000.47342768
111  49.17858426 -000.47335931
114  49.17858426 -000.47335931  49.17861542 -000.47338602
110 2 0.25 84.5000 ACB
111  49.17863680 -000.46579974
111  49.17872447 -000.46581063
111  49.17845071 -000.47015948
111  49.17838846 -000.47110789
111  49.17835423 -000.47162937
111  49.17830521 -000.47237610
111  49.17827948 -000.47278206
112  49.17832953 -000.47294529  49.17836190 -000.47303636
111  49.17832953 -000.47294529
112  49.17832953 -000.47294529  49.17834785 -000.47299684
112  49.17839805 -000.47310843  49.17842522 -000.47316242
111  49.17839805 -000.47310843
112  49.17839805 -000.47310843  49.17835906 -000.47305772
111  49.17833709 -000.47305465
111  49.17832267 -000.47332170
111  49.17835502 -000.47332559
111  49.17833561 -000.47367335
111  49.17802530 -000.47363498
111  49.17804603 -000.47328843
111  49.17807532 -000.47329195
111  49.17809158 -000.47297406
112  49.17797040 -000.47297473  49.17786861 -000.47302900
111  49.17797040 -000.47297473
112  49.17797040 -000.47297473  49.17802080 -000.47292651
112  49.17810007 -000.47282302  49.17813521 -000.47277420
111  49.17810007 -000.47282302
112  49.17810007 -000.47282302  49.17815538 -000.47274617
111  49.17818837 -000.47268379
111  49.17821165 -000.47235897
111  49.17823078 -000.47207127
113  49.17829288 -000.47113731
110 1 0.25 174.8000 ACB
111  49.17950220 -000.47315481
111  49.17950986 -000.47324875
111  49.17928897 -000.47321229
111  49.17927738 -000.47338855
111  49.17902520 -000.47335579
112  49.17920518 -000.47321739  49.17926340 -000.47311570
111  49.17934744 -000.47314696
114  49.17942331 -000.47316789  49.17946186 -000.47317858
110 2 0.25 174.8000 ACB
111  49.17950986 -000.47324875
111  49.17948240 -000.47372195
111  49.17925760 -000.47368931
111  49.17926770 -000.47353576
111  49.17887948 -000.47348148
111  49.17888694 -000.47333783
111  49.17902520 -000.47335579
111  49.17927738 -000.47338855
113  49.17928897 -000.47321229
110 2 0.25 170.2000 ACB
111  49.17878203 -000.47330622
112  49.17878203 -000.47330622  49.17884036 -000.47332790
111  49.17888694 -000.47333783
111  49.17887948 -000.47348148
112  49.17876121 -000.47345090  49.17869941 -000.47343008
113  49.17876121 -000.47345090
110 2 0.25 164.5000 ACB
111  49.17867983 -000.47326343
112  49.17867983 -000.47326343  49.17873002 -000.47329120
111  49.17878203 -000.47330622
111  49.17876121 -000.47345090
112  49.17864554 -000.47340077  49.17858567 -000.47336727
113  49.17864554 -000.47340077
110 2 0.25 155.5000 ACB
111  49.17863233 -000.47322830
112  49.17863233 -000.47322830  49.17865616 -000.47324979
111  49.17867983 -000.47326343
111  49.17864554 -000.47340077
112  49.17858426 -000.47335931  49.17855311 -000.47333261
113  49.17858426 -000.47335931
110 2 0.25 142.8000 ACB
111  49.17856075 -000.47314586
112  49.17856075 -000.47314586  49.17859127 -000.47318963
111  49.17863233 -000.47322830
111  49.17858426 -000.47335931
112  49.17849432 -000.47325429  49.17845533 -000.47320043
113  49.17849432 -000.47325429
110 2 0.25 133.0000 ACB
111  49.17848210 -000.47301642
112  49.17848210 -000.47301642  49.17852025 -000.47309001
111  49.17856075 -000.47314586
111  49.17849432 -000.47325429
112  49.17839805 -000.47310843  49.17835589 -000.47302743
113  49.17839805 -000.47310843
110 2 0.25 124.0000 ACB
111  49.17841295 -000.47287141
112  49.17841295 -000.47287141  49.17844606 -000.47294641
111  49.17848210 -000.47301642
111  49.17839805 -000.47310843
112  49.17839805 -000.47310843  49.17837087 -000.47305444
112  49.17832953 -000.47294529  49.17831122 -000.47289375
113  49.17832953 -000.47294529
110 2 0.25 118.2000 ACB
111  49.17841295 -000.47287141
111  49.17832953 -000.47294529
112  49.17832953 -000.47294529  49.17829717 -000.47285423
111  49.17827948 -000.47278206
111  49.17836297 -000.47273060
114  49.17836297 -000.47273060  49.17838287 -000.47279959
110 2 0.25 105.0000 ACB
111  49.17830521 -000.47237610
112  49.17830521 -000.47237610  49.17831247 -000.47254373
111  49.17836297 -000.47273060
113  49.17827948 -000.47278206
110 2 0.25 157.9000 ACB
111  49.17735533 -000.47324659
112  49.17735533 -000.47324659  49.17729647 -000.47327857
111  49.17724148 -000.47329710
112  49.17724148 -000.47329710  49.17719373 -000.47331346
111  49.17714268 -000.47330459
112  49.17714268 -000.47330459  49.17709620 -000.47329339
111  49.17705868 -000.47327276
111  49.17699465 -000.47351677
111  49.17678869 -000.47339257
111  49.17690356 -000.47294523
111  49.17711017 -000.47307650
111  49.17710389 -000.47310047
113  49.17720928 -000.47317248
110 1 0.25 172.0000 ACB
112  49.17714268 -000.47330459  49.17718916 -000.47331579
111  49.17714268 -000.47330459
111  49.17714165 -000.47347912
111  49.17699597 -000.47351273
113  49.17705868 -000.47327276
110 1 0.25 11.6000 ACB
112  49.17724148 -000.47329710  49.17728923 -000.47328074
111  49.17724148 -000.47329710
111  49.17726737 -000.47343905
111  49.17714165 -000.47347912
113  49.17714268 -000.47330459
110 1 0.25 19.7000 ACB
112  49.17735533 -000.47324659  49.17741419 -000.47321461
111  49.17735533 -000.47324659
111  49.17739136 -000.47337167
112  49.17739136 -000.47337167  49.17733305 -000.47341290
111  49.17726737 -000.47343905
113  49.17724148 -000.47329710
110 2 0.25 53.7000 ACB
112  49.17821165 -000.47235897  49.17822300 -000.47228907
111  49.17821165 -000.47235897
111  49.17818837 -000.47268379
113  49.17811404 -000.47258817
110 2 0.25 45.8000 ACB
111  49.17818837 -000.47268379
112  49.17810007 -000.47282302  49.17804477 -000.47289988
111  49.17810007 -000.47282302
111  49.17803656 -000.47271299
112  49.17811404 -000.47258817  49.17815135 -000.47251706
113  49.17811404 -000.47258817
110 2 0.25 36.1000 ACB
111  49.17810007 -000.47282302
